,City,Country,Lng,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
202,kaitangata,NZ,169.85,-46.28,280.37,87,1,0.89
203,thinadhoo,MV,72.93,0.53,301.46,77,99,6.06
204,shirokiy,RU,129.52,49.76,288.6,89,100,5.16
205,matara,LK,80.54,5.95,298.89,90,100,4.01
206,gat,IL,34.76,31.61,301.48,85,0,1.01
207,hithadhoo,MV,73.08,-0.6,301.31,77,97,6.0
208,santa isabel do rio negro,BR,-65.02,-0.41,306.23,45,84,1.0
209,hervey bay,AU,152.85,-25.3,290.93,95,13,4.02
210,banjar,ID,114.97,-8.19,299.15,100,20,3.6
211,cherskiy,RU,161.3,68.75,277.2,79,18,5.3
212,turukhansk,RU,87.98,65.82,282.4,70,100,1.88
213,miraflores,MX,-98.81,19.22,296.15,43,75,2.1
214,yulara,AU,130.99,-25.24,288.15,28,0,3.11
215,cap malheureux,MU,57.61,-19.98,295.37,86,53,2.24
216,karaton,ID,106.1,-6.34,300.93,83,40,0.44
217,talnakh,RU,88.4,69.49,281.15,93,10,5.0
218,iwanai,JP,140.51,42.97,295.61,81,2,2.45
219,piterka,RU,47.45,50.68,290.66,30,22,3.51
220,saint anthony,US,-93.22,45.02,287.15,71,90,3.1
221,tiksi,RU,128.87,71.69,278.52,79,100,4.67
222,galdar,ES,-15.65,28.15,304.15,22,97,8.7
223,los llanos de aridane,ES,-17.92,28.66,297.15,83,20,4.6
224,nuuk,GL,-51.72,64.18,279.15,75,75,3.6
225,ketchikan,US,-131.65,55.34,290.15,82,20,5.1
226,flinders,AU,150.86,-34.58,289.26,85,3,0.45
227,mana,GF,-53.78,5.66,301.18,84,77,3.81
228,bowen,AU,148.23,-20.02,292.15,82,90,4.1
229,hasaki,JP,140.83,35.73,299.26,94,40,4.1
230,manakara,MG,48.02,-22.13,291.53,91,21,1.37
231,mehamn,NO,27.85,71.04,281.15,93,75,2.1
232,sumbe,AO,13.84,-11.21,295.87,80,0,2.43
233,shache,CN,77.24,38.42,290.41,40,0,1.36
234,barranca,PE,-77.77,-10.75,291.14,70,9,4.25
235,paine,CL,-70.75,-33.82,295.15,45,75,4.6
236,george,ZA,22.46,-33.96,286.15,100,0,2.1
237,chumikan,RU,135.31,54.72,284.46,85,77,1.66
238,westport,US,-73.36,41.14,299.26,54,1,3.6
239,taoudenni,ML,-3.98,22.68,313.51,13,94,4.31
240,nantucket,US,-70.1,41.28,296.15,69,1,4.6
241,tessalit,ML,1.01,20.2,309.35,14,10,0.41
242,bemidji,US,-94.88,47.47,285.37,57,40,5.1
243,vanderhoof,CA,-124.02,54.02,291.25,37,0,0.21
244,san angelo,US,-100.44,31.46,308.71,30,40,6.2
245,port macquarie,AU,152.92,-31.43,284.82,90,8,2.24
246,bose,IT,8.01,45.46,290.93,87,100,2.68
247,ruteng,ID,120.47,-8.61,288.67,88,100,0.44
248,komsomolskiy,UZ,71.72,40.43,290.15,45,22,2.1
249,college,US,-147.8,64.86,289.15,63,75,2.1
250,kaeo,NZ,173.78,-35.1,282.59,3,19,1.34
251,urumqi,CN,87.6,43.8,288.15,67,100,4.0
252,lebu,CL,-73.65,-37.62,285.13,72,21,3.88
253,chimbote,PE,-78.58,-9.09,291.91,69,9,4.68
254,esperance,AU,121.9,-33.87,280.15,100,40,4.1
255,kviteseid,NO,8.49,59.4,281.48,86,96,3.13
256,vestmannaeyjar,IS,-20.27,63.44,283.33,76,96,7.45
257,meulaboh,ID,96.13,4.14,298.74,86,100,1.62
258,nancha,CN,129.27,47.13,290.43,93,100,5.17
259,junqueiropolis,BR,-51.43,-21.51,308.02,14,100,1.82
260,quepos,CR,-84.17,9.42,296.15,88,75,3.6
261,manchester,GB,-2.24,53.48,289.26,93,90,1.5
262,manaus,BR,-60.02,-3.1,306.15,52,40,2.1
263,byron bay,AU,153.62,-28.65,287.15,87,90,1.5
264,campo grande,BR,-54.65,-20.44,308.15,16,24,3.6
265,provideniya,RU,-173.3,64.38,281.15,65,100,6.0
266,amahai,ID,128.92,-3.33,297.57,86,99,0.93
267,cananea,MX,-110.3,30.95,307.59,31,0,2.68
268,manicore,BR,-61.3,-5.81,313.19,15,52,1.17
269,gamba,GA,10.0,-2.65,296.74,83,40,2.92
270,pineville,US,-92.43,31.32,307.15,36,1,1.5
271,pingliang,CN,106.69,35.54,289.33,59,4,0.46
272,gao,ML,1.64,16.64,306.23,39,31,2.53
273,oistins,BB,-59.53,13.07,302.15,74,20,6.7
274,vardo,NO,31.11,70.37,282.15,93,75,2.6
275,narayanganj,BD,90.5,23.62,301.15,78,75,4.51
276,te anau,NZ,167.72,-45.42,277.83,85,27,1.29
277,lebowakgomo,ZA,29.5,-24.2,290.15,39,0,0.5
278,shimoda,JP,138.95,34.67,295.37,94,6,4.45
279,clyde river,CA,-68.59,70.47,276.15,86,90,4.1
280,askiz,RU,90.53,53.13,279.53,84,66,2.29
281,sunrise manor,US,-115.07,36.21,314.15,7,40,1.5
282,margate,GB,1.39,51.38,290.93,72,100,1.79
283,nelson,NZ,173.28,-41.28,279.82,97,0,1.53
284,smidovich,RU,133.82,48.6,290.7,93,100,8.38
285,jacqueville,CI,-4.41,5.21,298.15,94,75,3.6
286,san jose,US,-121.89,37.34,313.71,22,90,3.6
287,mahebourg,MU,57.7,-20.41,295.15,94,40,4.1
288,tabuk,PH,121.44,17.42,296.02,91,100,1.65
289,tambura,SS,27.47,5.6,293.94,91,100,1.6
290,horsham,GB,-0.33,51.06,290.15,77,75,3.6
291,saint-joseph,RE,55.62,-21.37,295.15,94,90,10.3
292,wuda,CN,106.71,39.5,293.65,40,0,5.36
293,hoi an,VN,108.33,15.88,298.15,88,20,2.1
294,muros,ES,-9.06,42.78,294.26,62,42,2.24
295,barcelos,PT,-8.62,41.54,299.82,53,3,0.5
296,otradnoye,RU,30.82,59.78,286.48,99,100,1.53
297,okhotsk,RU,143.3,59.38,283.08,83,51,5.68
298,zhigansk,RU,123.37,66.77,277.14,89,0,5.42
299,hue,VN,107.6,16.47,299.15,83,20,1.0
300,verkhnyaya inta,RU,60.31,65.98,288.19,76,100,4.56
301,gayny,RU,54.32,60.31,284.65,95,64,2.05
302,neiafu,TO,-173.98,-18.65,298.15,61,20,3.1
303,indramayu,ID,108.32,-6.33,299.35,75,26,3.34
304,ancud,CL,-73.82,-41.87,284.82,78,100,0.89
305,la macarena,CO,-73.78,2.18,306.3,45,76,2.05
306,sukumo,JP,132.73,32.93,296.09,86,7,2.86
307,montepuez,MZ,39.0,-13.13,291.93,76,1,3.42
308,tefe,BR,-64.71,-3.35,308.15,50,20,4.1
309,luderitz,NA,15.16,-26.65,291.56,54,0,1.12
310,estelle,US,-90.11,29.85,306.48,62,75,2.6
311,sao filipe,CV,-24.5,14.9,299.3,81,98,5.1
312,ust-shonosha,RU,41.34,61.15,284.15,93,100,1.65
313,minab,IR,57.08,27.15,305.15,52,0,1.28
314,fairbanks,US,-147.72,64.84,289.15,59,75,3.1
315,razdolnoye,RU,131.92,43.55,295.15,88,75,10.0
316,acarau,BR,-40.12,-2.89,300.58,65,51,8.45
317,monrovia,LR,-10.8,6.3,298.15,94,75,5.34
318,carballo,ES,-8.69,43.21,291.15,68,28,2.6
319,ormara,PK,64.64,25.21,301.24,80,0,8.46
320,elmadag,TR,33.23,39.92,294.15,35,0,1.5
321,mulchen,CL,-72.23,-37.72,289.15,59,75,4.6
322,dongsheng,CN,109.98,39.82,288.48,59,0,3.64
323,wanning,CN,110.4,18.8,300.9,86,96,2.77
324,izhma,RU,53.91,65.01,289.52,77,100,3.23
325,sola,VU,167.55,-13.88,299.39,82,80,9.84
326,shelburne,CA,-80.2,44.08,293.15,64,90,4.1
327,salalah,OM,54.09,17.02,299.15,88,40,3.1
328,booue,GA,11.94,-0.09,296.98,79,91,1.43
329,nicoya,CR,-85.45,10.15,304.15,66,75,2.1
330,pandan niog,PH,120.56,6.23,301.13,77,99,3.34
331,rajura,IN,79.37,19.78,299.99,80,98,1.27
332,mount gambier,AU,140.77,-37.83,290.15,48,90,5.7
333,hirara,JP,125.28,24.8,300.65,64,1,3.1
334,sawtell,AU,153.1,-30.38,288.15,87,90,2.1
335,ust-omchug,RU,149.63,61.15,278.8,84,67,2.52
336,sabha,LY,14.43,27.04,304.94,18,0,5.74
337,luangwa,ZM,30.42,-15.62,292.77,38,0,2.17
338,bonfim,BR,-59.95,3.08,305.82,48,85,1.37
339,saint-georges,GD,-61.75,12.06,304.15,74,20,6.2
340,port lincoln,AU,135.87,-34.73,287.28,76,100,3.99
341,kousseri,CM,15.03,12.08,300.15,83,69,1.0
342,cockburn town,TC,-71.14,21.46,303.15,62,40,3.6
343,alma,CA,-71.65,48.55,294.15,82,90,7.2
344,arinos,BR,-46.11,-15.92,306.76,20,0,2.63
345,dayong,CN,118.29,25.02,299.15,94,75,2.0
346,iqaluit,CA,-68.51,63.75,280.15,70,20,2.1
347,honiara,SB,159.95,-9.43,296.15,100,40,1.5
348,scarborough,GB,-0.4,54.28,289.26,90,99,1.79
349,saint-leu,RE,55.28,-21.15,295.15,94,90,10.3
350,nautla,MX,-96.78,20.22,301.96,72,100,4.65
351,grand-santi,GF,-54.38,4.25,305.06,57,55,0.42
352,marawi,PH,124.29,8.0,297.59,90,0,2.68
353,morondava,MG,44.28,-20.28,295.79,71,15,5.43
354,laguna,US,-121.42,38.42,312.04,22,1,3.03
355,kieta,PG,155.63,-6.22,299.28,77,82,1.46
356,aguimes,ES,-15.45,27.91,304.15,22,76,8.7
357,porbandar,IN,69.61,21.64,301.29,83,97,4.43
358,sitka,US,-135.33,57.05,288.15,77,90,2.6
359,naze,JP,129.48,28.37,297.15,100,20,1.0
360,lukovetskiy,RU,41.92,64.3,283.15,100,40,1.0
361,roald,NO,6.13,62.58,287.15,76,75,9.3
362,kamenka,RU,42.77,51.32,287.59,41,99,3.97
363,praya,CV,-23.51,14.92,300.15,74,75,1.0
364,korla,CN,86.15,41.76,297.59,64,41,1.34
365,riachao das neves,BR,-44.91,-11.75,306.91,20,0,2.77
366,neftekumsk,RU,44.92,44.67,294.29,80,0,3.26
367,thunder bay,CA,-89.32,48.4,287.04,43,75,7.2
368,polyarnyy,RU,33.45,69.2,278.15,100,1,1.0
369,abu samrah,SY,37.18,35.3,300.02,19,0,1.43
370,adrar,MR,-10.07,20.5,310.51,15,14,2.24
371,mackenzie,CA,-123.17,55.3,286.15,62,1,1.5
372,puksoozero,RU,40.61,62.59,283.26,96,100,2.08
373,cabo san lucas,MX,-109.91,22.89,304.82,74,75,1.5
374,bathsheba,BB,-59.52,13.22,302.15,74,20,6.7
375,bayburt,TR,40.23,40.26,286.79,82,1,0.71
376,gorontalo,ID,123.06,0.54,296.44,88,93,0.91
377,vieux-habitants,GP,-61.77,16.06,303.15,70,40,4.6
378,maningrida,AU,134.27,-12.07,292.51,94,99,3.6
379,husavik,IS,-17.34,66.04,280.15,65,75,3.6
380,seddon,AU,144.89,-37.81,292.59,72,100,9.8
381,lebyazhye,RU,66.49,55.27,282.6,71,100,1.54
382,hundested,DK,11.87,55.97,287.59,45,56,3.13
383,hami,CN,93.45,42.8,294.9,34,7,5.82
384,port augusta,AU,137.77,-32.5,289.15,72,73,4.1
385,rokytne,UA,27.21,51.28,284.42,92,100,3.67
386,rio grande,BR,-52.1,-32.03,288.15,84,3,3.58
387,rio gallegos,AR,-69.22,-51.62,284.15,53,100,1.0
388,port blair,IN,92.75,11.67,300.93,80,100,2.83
389,orje,NO,11.66,59.48,285.93,87,100,6.03
390,shingu,JP,135.98,33.73,297.34,91,13,1.96
391,makaleng,BW,27.28,-20.9,290.15,39,0,2.6
392,paamiut,GL,-49.67,61.99,278.41,79,0,11.26
393,malindi,KE,40.12,-3.22,297.03,81,17,5.52
394,freetown,SL,-13.23,8.48,300.15,78,75,3.1
395,wolgast,DE,13.77,54.05,285.37,75,64,3.25
396,issia,CI,-6.59,6.49,295.63,97,15,1.59
397,ceres,US,-120.96,37.59,311.15,22,1,3.6
398,matay,EG,30.78,28.42,303.08,39,0,7.05
399,agropoli,IT,15.0,40.35,298.15,60,73,1.79
400,aranos,NA,19.12,-24.13,294.51,22,0,6.25
401,coquimbo,CL,-71.34,-29.95,288.15,67,20,5.7
402,udachnyy,RU,112.4,66.42,273.15,83,90,2.0
403,villazon,BO,-65.59,-22.09,294.08,11,96,7.9
404,lumeje,AO,20.78,-11.55,296.33,20,0,2.98
405,ilulissat,GL,-51.1,69.22,277.15,80,69,3.6
406,raudeberg,NO,5.14,61.99,284.26,93,100,12.52
407,quatre cocos,MU,57.76,-20.21,295.37,94,40,4.1
408,labuhan,ID,112.21,-6.88,298.1,83,0,3.33
409,launceston,AU,147.17,-41.45,286.15,71,100,8.2
410,beloha,MG,45.05,-25.17,292.86,78,21,8.1
411,bonavista,CA,-53.11,48.65,288.93,67,0,4.39
412,sioux lookout,CA,-91.92,50.1,283.15,53,75,5.7
413,smirnykh,RU,142.83,49.75,287.79,91,100,0.5
414,tynda,RU,124.72,55.17,281.63,90,0,1.32
415,canberra,AU,149.13,-35.28,281.48,83,42,1.22
416,kuito,AO,16.93,-12.38,290.86,28,0,0.81
417,san quintin,MX,-115.95,30.48,300.76,54,0,5.12
418,tupelo,US,-88.7,34.26,305.15,46,1,2.1
419,jiangyou,CN,104.72,31.77,295.13,76,78,1.54
420,artvin,TR,41.83,41.17,294.15,94,40,2.6
421,vryburg,ZA,24.73,-26.96,292.04,29,0,3.41
422,porto santo,PT,-16.34,33.07,296.15,78,20,2.6
423,sorland,NO,12.69,67.67,284.15,87,75,6.7
424,marzuq,YE,46.47,14.4,299.29,59,18,2.6
425,tilichiki,RU,166.1,60.47,279.57,86,100,2.34
426,keti bandar,PK,67.45,24.14,301.23,81,1,5.99
427,comodoro rivadavia,AR,-67.5,-45.87,295.15,26,27,5.7
428,surajgarh,IN,75.73,28.31,302.64,59,0,1.54
429,havre,FR,0.33,49.58,290.15,82,90,3.1
430,novyy urgal,RU,132.56,51.07,286.06,94,100,1.71
431,yerbogachen,RU,108.01,61.28,279.62,88,64,0.57
432,pescia,IT,10.69,43.9,295.37,79,0,2.49
433,zemio,CF,25.14,5.03,294.37,96,100,0.74
434,buraydah,SA,43.98,26.33,306.15,18,0,3.1
435,saint-paul,RE,55.27,-21.01,295.15,93,5,1.5
436,nueve de julio,AR,-60.88,-35.44,290.37,57,0,1.34
437,rorvik,NO,11.24,64.86,284.15,93,75,5.1
438,jinchang,CN,102.17,38.5,291.86,29,81,2.01
439,leno,IT,10.22,45.37,294.26,68,40,2.6
440,sao gabriel da cachoeira,BR,-67.09,-0.13,307.15,59,40,1.5
441,ussuriysk,RU,131.95,43.8,295.15,88,75,10.0
442,avera,US,-82.53,33.19,304.15,48,75,4.1
443,kokoda,PG,147.74,-8.88,295.19,69,1,0.82
444,eravur,LK,81.61,7.77,300.23,73,100,1.18
445,evensk,RU,159.23,61.95,280.85,82,100,7.1
446,strelka,RU,93.03,58.07,279.91,94,99,0.93
447,mega,ET,38.3,4.05,289.84,70,14,5.58
448,san ramon,US,-121.98,37.78,315.93,15,1,2.1
449,edson,CA,-116.44,53.58,283.15,66,40,2.6
450,vanimo,PG,141.3,-2.67,298.28,85,5,2.93
451,zvishavane,ZW,30.07,-20.33,287.8,58,0,1.57
